No,種別/Kind,店名(日本語読み),Name (English),店名(ハングル),ジャンル(日),Cuisine (EN),料理(日),Dishes (EN),犬の同伴,テラス席/Terrace,エリア(日),Area (EN),区(日),District (EN),住所(ハングル),緯度,経度,位置精度,評価,口コミ数,業態,Googleマップ,NAVERマップ,DiningCode,カテゴリ原文(韓)
124,カフェ/Cafe,アンコーヒー,An Coffee,안커피,コーヒー専門,Specialty Coffee,カフェ・コーヒー,"Cafe, Coffee",店内OK / Indoors OK,あり/Yes,ケボンドン,Gaebong-dong,九老区,Guro-gu,"서울특별시 구로구 고척로22길 74 1층 103호, 104호 AN COFFEE",37.4983719,126.847302,店舗単位,3.8,3,軽飲食店,https://www.google.com/maps/search/?api=1&query=37.4983719%2C126.847302,https://map.naver.com/p/search/%EC%95%88%EC%BB%A4%ED%94%BC%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B5%AC%EB%A1%9C%EA%B5%AC%20%EA%B3%A0%EC%B2%99%EB%A1%9C22%EA%B8%B8%2074%201%EC%B8%B5%20103%ED%98%B8%2C%20104%ED%98%B8%20AN%20COFFEE,https://www.diningcode.com/profile.php?rid=PZg5AFFAa9J9,"카페, coffee"
125,カフェ/Cafe,ヤミャムプレート ケボンドン,Yamyam Plate Gaebongdong,얌얌플레이트 개봉동,スイーツ,Sweets,ケーキ・レタリングケーキ,"Cake, Lettering Cake",店内OK / Indoors OK,なし/No,ケボンドン,Gaebong-dong,九老区,Guro-gu,서울특별시 구로구 개봉로12길 9-40,37.4900017,126.8568764,店舗単位,4.9,4,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.4900017%2C126.8568764,https://map.naver.com/p/search/%EC%96%8C%EC%96%8C%ED%94%8C%EB%A0%88%EC%9D%B4%ED%8A%B8%20%EA%B0%9C%EB%B4%89%EB%8F%99%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B5%AC%EB%A1%9C%EA%B5%AC%20%EA%B0%9C%EB%B4%89%EB%A1%9C12%EA%B8%B8%209-40,https://www.diningcode.com/profile.php?rid=n580gaTpVhZP,"케이크, 레터링케이크"
126,カフェ/Cafe,イェチコーヒーハウス ケボンヨク,Yeti Coffee House Gaebongyeok,예티커피하우스 개봉역,スイーツ,Sweets,カフェ・ロルケーキ,"Cafe, Rol Cake",店内OK / Indoors OK,なし/No,ケボンドン,Gaebong-dong,九老区,Guro-gu,서울특별시 구로구 개봉로16길 3 1층,37.490081,126.8564667,店舗単位,,0,ベーカリー営業,https://www.google.com/maps/search/?api=1&query=37.490081%2C126.8564667,https://map.naver.com/p/search/%EC%98%88%ED%8B%B0%EC%BB%A4%ED%94%BC%ED%95%98%EC%9A%B0%EC%8A%A4%20%EA%B0%9C%EB%B4%89%EC%97%AD%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B5%AC%EB%A1%9C%EA%B5%AC%20%EA%B0%9C%EB%B4%89%EB%A1%9C16%EA%B8%B8%203%201%EC%B8%B5,https://www.diningcode.com/profile.php?rid=2yY0cxfLLGTS,"카페, 롤케이크"
127,ごはん/Meal,オプトゥコーヒー ケボンドン,Opeutu Coffee Gaebongdong,오프투커피 개봉동,ブランチ,Brunch,ベーカリー・フレンチトースト,"Bakery, French Toast",店内OK / Indoors OK,なし/No,ケボンドン,Gaebong-dong,九老区,Guro-gu,서울특별시 구로구 개봉로16길 9 1층,37.4901242,126.8567186,店舗単位,,0,軽飲食店,https://www.google.com/maps/search/?api=1&query=37.4901242%2C126.8567186,https://map.naver.com/p/search/%EC%98%A4%ED%94%84%ED%88%AC%EC%BB%A4%ED%94%BC%20%EA%B0%9C%EB%B4%89%EB%8F%99%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B5%AC%EB%A1%9C%EA%B5%AC%20%EA%B0%9C%EB%B4%89%EB%A1%9C16%EA%B8%B8%209%201%EC%B8%B5,https://www.diningcode.com/profile.php?rid=iCAvAZJFwPjF,"베이커리, 프렌치토스트"
128,ごはん/Meal,パインコーヒー ケボンドン,Fine coffee,파인커피 개봉동,ブランチ,Brunch,カフェ・フレンチトースト,"Cafe, French Toast",店内OK / Indoors OK,なし/No,ケボンドン,Gaebong-dong,九老区,Guro-gu,서울특별시 구로구 개봉로12길 33 1층,37.4882999,126.8582529,店舗単位,,0,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.4882999%2C126.8582529,https://map.naver.com/p/search/%ED%8C%8C%EC%9D%B8%EC%BB%A4%ED%94%BC%20%EA%B0%9C%EB%B4%89%EB%8F%99%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B5%AC%EB%A1%9C%EA%B5%AC%20%EA%B0%9C%EB%B4%89%EB%A1%9C12%EA%B8%B8%2033%201%EC%B8%B5,https://www.diningcode.com/profile.php?rid=siSabCh4DCL0,"카페, 프렌치토스트"
129,ごはん/Meal,ムンジョンソンシ チョンジプ クヂ,Munjeonseongsi Jeonjip Gudi,문전성시 전집 구디,韓国料理,Korean,チヂミ居酒屋・マッコリ,"Jeon (Korean Pancake), Makgeolli",店内OK / Indoors OK,なし/No,クロドン,Guro-dong,九老区,Guro-gu,서울특별시 구로구 디지털로32길 87 1층 문전성시,37.4831902,126.9002285,店舗単位,4.2,5,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.4831902%2C126.9002285,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%84%EC%84%B1%EC%8B%9C%20%EC%A0%84%EC%A7%91%20%EA%B5%AC%EB%94%94%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B5%AC%EB%A1%9C%EA%B5%AC%20%EB%94%94%EC%A7%80%ED%84%B8%EB%A1%9C32%EA%B8%B8%2087%201%EC%B8%B5%20%EB%AC%B8%EC%A0%84%EC%84%B1%EC%8B%9C,https://www.diningcode.com/profile.php?rid=D6O84ILCQoyM,"전집, 막걸리"
130,カフェ/Cafe,エギョンドンバンカフェ モン,Aegyeondongban Cafe Meong,애견동반카페 멍,カフェ,Cafe,,,店内OK / Indoors OK,なし/No,クロドン,Guro-dong,九老区,Guro-gu,서울특별시 구로구 공원로 40,37.5054444,126.8867572,通り単位,,0,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5054444%2C126.8867572,https://map.naver.com/p/search/%EC%95%A0%EA%B2%AC%EB%8F%99%EB%B0%98%EC%B9%B4%ED%8E%98%20%EB%A9%8D%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B5%AC%EB%A1%9C%EA%B5%AC%20%EA%B3%B5%EC%9B%90%EB%A1%9C%2040,,
131,ごはん/Meal,ポチャ モン,Pocha Mong,포차 몽,バー・居酒屋,Bar & Pub,,,店内OK / Indoors OK,なし/No,クロドン,Guro-dong,九老区,Guro-gu,서울특별시 구로구 공원로8길 45,37.5034396,126.8910043,通り単位,,0,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5034396%2C126.8910043,https://map.naver.com/p/search/%ED%8F%AC%EC%B0%A8%20%EB%AA%BD%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B5%AC%EB%A1%9C%EA%B5%AC%20%EA%B3%B5%EC%9B%90%EB%A1%9C8%EA%B8%B8%2045,,
132,ごはん/Meal,スチルハウス,STILL HAUS,스틸하우스,レストラン,Restaurant,,,店内OK / Indoors OK,なし/No,シンドリムドン,Sindorim-dong,九老区,Guro-gu,서울특별시 구로구 신도림로11길 14,37.5085478,126.8797439,建物単位,,0,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5085478%2C126.8797439,https://map.naver.com/p/search/%EC%8A%A4%ED%8B%B8%ED%95%98%EC%9A%B0%EC%8A%A4%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B5%AC%EB%A1%9C%EA%B5%AC%20%EC%8B%A0%EB%8F%84%EB%A6%BC%EB%A1%9C11%EA%B8%B8%2014,,
133,カフェ/Cafe,カフェ エイルリン,Cafe Eilrin,카페 에일린,スイーツ,Sweets,デザート・カフェ,"Dessert, Cafe",店内OK / Indoors OK,なし/No,オリュドン,Oryu-dong,九老区,Guro-gu,서울특별시 구로구 경인로20가길 68 상가동 109호 카페에일린,37.4958057,126.8467791,店舗単位,3.7,2,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.4958057%2C126.8467791,https://map.naver.com/p/search/%EC%B9%B4%ED%8E%98%20%EC%97%90%EC%9D%BC%EB%A6%B0%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B5%AC%EB%A1%9C%EA%B5%AC%20%EA%B2%BD%EC%9D%B8%EB%A1%9C20%EA%B0%80%EA%B8%B8%2068%20%EC%83%81%EA%B0%80%EB%8F%99%20109%ED%98%B8%20%EC%B9%B4%ED%8E%98%EC%97%90%EC%9D%BC%EB%A6%B0,https://www.diningcode.com/profile.php?rid=XIl6kGVAR6kT,"디저트, 카페"
134,カフェ/Cafe,ペイモスベーカリー オリュドン,Peimeoseu Bakery Oryudong,페이머스베이커리 오류동,ベーカリー,Bakery,ケーキ・フィナンシェ,"Cake, Financier",店内OK / Indoors OK,なし/No,オリュドン,Oryu-dong,九老区,Guro-gu,서울특별시 구로구 경인로19길 48-8 1층,37.4974569,126.8427476,店舗単位,5,1,軽飲食店,https://www.google.com/maps/search/?api=1&query=37.4974569%2C126.8427476,https://map.naver.com/p/search/%ED%8E%98%EC%9D%B4%EB%A8%B8%EC%8A%A4%EB%B2%A0%EC%9D%B4%EC%BB%A4%EB%A6%AC%20%EC%98%A4%EB%A5%98%EB%8F%99%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B5%AC%EB%A1%9C%EA%B5%AC%20%EA%B2%BD%EC%9D%B8%EB%A1%9C19%EA%B8%B8%2048-8%201%EC%B8%B5,https://www.diningcode.com/profile.php?rid=AXBYB4FrdIhE,"케이크, 휘낭시에"
135,ごはん/Meal,カサンムルガルビ&チュクソクソブルゴギ カサンジョム,Gasanmulgalbi & Jeukseoksobulgogi Gasanjeom,가산물갈비&즉석소불고기 가산점,韓国料理,Korean,汁カルビ・イカの天ぷら,"Soupy Galbi, Fried Squid",店内OK / Indoors OK,なし/No,カサンドン,Gasan-dong,衿川区,Geumcheon-gu,서울특별시 금천구 가산디지털1로 128 STX V TOWER 110호,37.4770105,126.8839179,店舗単位,4.5,37,軽飲食店,https://www.google.com/maps/search/?api=1&query=37.4770105%2C126.8839179,https://map.naver.com/p/search/%EA%B0%80%EC%82%B0%EB%AC%BC%EA%B0%88%EB%B9%84%26%EC%A6%89%EC%84%9D%EC%86%8C%EB%B6%88%EA%B3%A0%EA%B8%B0%20%EA%B0%80%EC%82%B0%EC%A0%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B8%88%EC%B2%9C%EA%B5%AC%20%EA%B0%80%EC%82%B0%EB%94%94%EC%A7%80%ED%84%B81%EB%A1%9C%20128%20STX%20V%20TOWER%20110%ED%98%B8,https://www.diningcode.com/profile.php?rid=Iut1GgCuEm4n,"물갈비, 오징어튀김"
136,カフェ/Cafe,ルンデザート カサン,Rung Dessert Gasan,룽디저트 가산,スイーツ,Sweets,デザート・もちもちクッキー,"Dessert, Chewy Cookie",店内OK / Indoors OK,あり/Yes,カサンドン,Gasan-dong,衿川区,Geumcheon-gu,서울특별시 금천구 가산로5길 14 해찬행복드림아파트 101호 룽디저트,37.4736396,126.8939825,店舗単位,5,1,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.4736396%2C126.8939825,https://map.naver.com/p/search/%EB%A3%BD%EB%94%94%EC%A0%80%ED%8A%B8%20%EA%B0%80%EC%82%B0%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B8%88%EC%B2%9C%EA%B5%AC%20%EA%B0%80%EC%82%B0%EB%A1%9C5%EA%B8%B8%2014%20%ED%95%B4%EC%B0%AC%ED%96%89%EB%B3%B5%EB%93%9C%EB%A6%BC%EC%95%84%ED%8C%8C%ED%8A%B8%20101%ED%98%B8%20%EB%A3%BD%EB%94%94%EC%A0%80%ED%8A%B8,https://www.diningcode.com/profile.php?rid=S6ASUBhsdaMM,"디저트, 두쫀쿠"
137,ごはん/Meal,パメンソン カフェ カサン,Bamaensong Cafe Gasan,밤앤송 카페 가산,サンドイッチ・サラダ,Sandwich & Salad,デザート・クロワッサンサンド,"Dessert, Croissant Sandwich",店内OK / Indoors OK,なし/No,カサンドン,Gasan-dong,衿川区,Geumcheon-gu,서울특별시 금천구 시흥대로153길 72 1층 밤앤송 카페,37.4767285,126.8945143,店舗単位,,0,軽飲食店,https://www.google.com/maps/search/?api=1&query=37.4767285%2C126.8945143,https://map.naver.com/p/search/%EB%B0%A4%EC%95%A4%EC%86%A1%20%EC%B9%B4%ED%8E%98%20%EA%B0%80%EC%82%B0%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B8%88%EC%B2%9C%EA%B5%AC%20%EC%8B%9C%ED%9D%A5%EB%8C%80%EB%A1%9C153%EA%B8%B8%2072%201%EC%B8%B5%20%EB%B0%A4%EC%95%A4%EC%86%A1%20%EC%B9%B4%ED%8E%98,https://www.diningcode.com/profile.php?rid=5xBEiXJuiqhV,"디저트, 크루아상샌드위치"
138,ごはん/Meal,トゥップル205 カサンヂジトルダンジヨク,Tuppul 205 Gasandijiteoldanjiyeok,투뿔205 가산디지털단지역,焼肉,Korean BBQ,焼肉・韓牛,"Korean BBQ, Korean Beef",店内OK / Indoors OK,なし/No,カサンドン,Gasan-dong,衿川区,Geumcheon-gu,"서울특별시 금천구 디지털로9길 99 스타밸리 1층 115, 117, 118호",37.4815616,126.885067,店舗単位,5,2,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.4815616%2C126.885067,https://map.naver.com/p/search/%ED%88%AC%EB%BF%94205%20%EA%B0%80%EC%82%B0%EB%94%94%EC%A7%80%ED%84%B8%EB%8B%A8%EC%A7%80%EC%97%AD%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B8%88%EC%B2%9C%EA%B5%AC%20%EB%94%94%EC%A7%80%ED%84%B8%EB%A1%9C9%EA%B8%B8%2099%20%EC%8A%A4%ED%83%80%EB%B0%B8%EB%A6%AC%201%EC%B8%B5%20115%2C%20117%2C%20118%ED%98%B8,https://www.diningcode.com/profile.php?rid=xAUahkDL7jUJ,"고깃집, 한우"
139,カフェ/Cafe,ハーフコーヒーエクスプレス ポブルリクガサンジョム,Half Coffee Express Peobeulrikgasanjeom,하프커피익스프레스 퍼블릭가산점,コーヒー専門,Specialty Coffee,コーヒー・クリームラテ,"Coffee, Cream Latte",店内OK / Indoors OK,なし/No,カサンドン,Gasan-dong,衿川区,Geumcheon-gu,서울특별시 금천구 디지털로 178 M-B116호,37.4766286,126.8871293,店舗単位,5,2,軽飲食店,https://www.google.com/maps/search/?api=1&query=37.4766286%2C126.8871293,https://map.naver.com/p/search/%ED%95%98%ED%94%84%EC%BB%A4%ED%94%BC%EC%9D%B5%EC%8A%A4%ED%94%84%EB%A0%88%EC%8A%A4%20%ED%8D%BC%EB%B8%94%EB%A6%AD%EA%B0%80%EC%82%B0%EC%A0%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B8%88%EC%B2%9C%EA%B5%AC%20%EB%94%94%EC%A7%80%ED%84%B8%EB%A1%9C%20178%20M-B116%ED%98%B8,https://www.diningcode.com/profile.php?rid=gyRFVwoogKsB,"커피, 크림라떼"
140,ごはん/Meal,クァイルデイリープルッ クムチョンジョム,Gwail Daily Peurut Geumcheonjeom,과일데일리프룻 금천점,レストラン,Restaurant,,,店内OK / Indoors OK,なし/No,トクサンドン,Doksan-dong,衿川区,Geumcheon-gu,서울특별시 금천구 가산로 71 2층 1호,37.4726071,126.895201,店舗単位,,0,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.4726071%2C126.895201,https://map.naver.com/p/search/%EA%B3%BC%EC%9D%BC%EB%8D%B0%EC%9D%BC%EB%A6%AC%ED%94%84%EB%A3%BB%20%EA%B8%88%EC%B2%9C%EC%A0%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B8%88%EC%B2%9C%EA%B5%AC%20%EA%B0%80%EC%82%B0%EB%A1%9C%2071%202%EC%B8%B5%201%ED%98%B8,https://www.diningcode.com/profile.php?rid=H8PhJbWNnbDe,
141,ごはん/Meal,中華料理 パルゴン,Junghwayori Palgong,중화요리 팔공,中華,Chinese,ジャージャー麺・中華,Jjajangmyeon,店内OK / Indoors OK,なし/No,禿山洞（トクサンドン）,Doksan-dong,衿川区,Geumcheon-gu,서울특별시 관악구 남부순환로 1680,37.4841291,126.9371692,店舗単位,4.6,35,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.4841291%2C126.9371692,https://map.naver.com/p/search/%EC%A4%91%ED%99%94%EC%9A%94%EB%A6%AC%20%ED%8C%94%EA%B3%B5%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B4%80%EC%95%85%EA%B5%AC%20%EB%82%A8%EB%B6%80%EC%88%9C%ED%99%98%EB%A1%9C%201680,https://www.diningcode.com/profile.php?rid=SlU4iocpXug7,짜장면
142,カフェ/Cafe,チプス トクサンドン,Chipseu Doksandong,칩스 독산동,カフェ,Cafe,カフェ・フォカッチャ,"Cafe, Focaccia",店内OK / Indoors OK,なし/No,トクサンドン,Doksan-dong,衿川区,Geumcheon-gu,서울특별시 금천구 두산로9길 5 1층,37.4705188,126.8925733,店舗単位,5,3,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.4705188%2C126.8925733,https://map.naver.com/p/search/%EC%B9%A9%EC%8A%A4%20%EB%8F%85%EC%82%B0%EB%8F%99%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B8%88%EC%B2%9C%EA%B5%AC%20%EB%91%90%EC%82%B0%EB%A1%9C9%EA%B8%B8%205%201%EC%B8%B5,https://www.diningcode.com/profile.php?rid=RuBO9VDF3IMB,"카페, 포카치아"
143,カフェ/Cafe,プルトア トクサンドン,pour toi,푸르토아 독산동,スイーツ,Sweets,デザート・カフェ,"Dessert, Cafe",店内OK / Indoors OK,なし/No,トクサンドン,Doksan-dong,衿川区,Geumcheon-gu,서울특별시 금천구 독산로54길 41 1층,37.4644344,126.9069917,店舗単位,5,1,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.4644344%2C126.9069917,https://map.naver.com/p/search/%ED%91%B8%EB%A5%B4%ED%86%A0%EC%95%84%20%EB%8F%85%EC%82%B0%EB%8F%99%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B8%88%EC%B2%9C%EA%B5%AC%20%EB%8F%85%EC%82%B0%EB%A1%9C54%EA%B8%B8%2041%201%EC%B8%B5,https://www.diningcode.com/profile.php?rid=4HJleXu4bv4p,"디저트, 카페"
144,ごはん/Meal,トグピエス,Dogeupieseu,도그피에스,レストラン,Restaurant,,,店内OK / Indoors OK,なし/No,シフンドン,Siheung-dong,衿川区,Geumcheon-gu,서울특별시 금천구 시흥대로39길 16,37.4472936,126.9023092,建物単位,,0,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.4472936%2C126.9023092,https://map.naver.com/p/search/%EB%8F%84%EA%B7%B8%ED%94%BC%EC%97%90%EC%8A%A4%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B8%88%EC%B2%9C%EA%B5%AC%20%EC%8B%9C%ED%9D%A5%EB%8C%80%EB%A1%9C39%EA%B8%B8%2016,,
145,カフェ/Cafe,ラプレア シフンサゴリ,Lafrea,라프레아 시흥사거리,スイーツ,Sweets,カフェ・デザート,"Cafe, Dessert",店内OK / Indoors OK,なし/No,シフンドン,Siheung-dong,衿川区,Geumcheon-gu,"서울특별시 금천구 시흥대로57길 5 101,102호",37.4525697,126.9006691,店舗単位,4.5,3,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.4525697%2C126.9006691,https://map.naver.com/p/search/%EB%9D%BC%ED%94%84%EB%A0%88%EC%95%84%20%EC%8B%9C%ED%9D%A5%EC%82%AC%EA%B1%B0%EB%A6%AC%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B8%88%EC%B2%9C%EA%B5%AC%20%EC%8B%9C%ED%9D%A5%EB%8C%80%EB%A1%9C57%EA%B8%B8%205%20101%2C102%ED%98%B8,https://www.diningcode.com/profile.php?rid=eaa60sTESSKK,"카페, 디저트"
146,ごはん/Meal,タクハンマリ コンルンボンジョム,Dakhanmari Gongreungbonjeom,닭한마리 공릉본점,麺料理,Noodles,タッカンマリ・カルグクス,"Chicken Hotpot, Knife-cut Noodles",店内OK / Indoors OK,なし/No,コンルンドン,Gongreung-dong,蘆原区,Nowon-gu,서울특별시 노원구 동일로 1020,37.621252,127.0747069,店舗単位,4.3,63,軽飲食店,https://www.google.com/maps/search/?api=1&query=37.621252%2C127.0747069,https://map.naver.com/p/search/%EB%8B%AD%ED%95%9C%EB%A7%88%EB%A6%AC%20%EA%B3%B5%EB%A6%89%EB%B3%B8%EC%A0%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%85%B8%EC%9B%90%EA%B5%AC%20%EB%8F%99%EC%9D%BC%EB%A1%9C%201020,https://www.diningcode.com/profile.php?rid=JrQX2fyHnJkl,"닭한마리, 칼국수"
147,カフェ/Cafe,ムイロコーヒー コンルン,MUIRO,무이로커피 공릉,スイーツ,Sweets,カフェ・パブロバ,"Cafe, Pavlova",店内OK / Indoors OK,なし/No,コンルンドン,Gongreung-dong,蘆原区,Nowon-gu,서울특별시 노원구 동일로186길 77-7 1층,37.6258014,127.0770655,店舗単位,4.6,6,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.6258014%2C127.0770655,https://map.naver.com/p/search/%EB%AC%B4%EC%9D%B4%EB%A1%9C%EC%BB%A4%ED%94%BC%20%EA%B3%B5%EB%A6%89%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%85%B8%EC%9B%90%EA%B5%AC%20%EB%8F%99%EC%9D%BC%EB%A1%9C186%EA%B8%B8%2077-7%201%EC%B8%B5,https://www.diningcode.com/profile.php?rid=8novFnl4aH4h,"카페, 파블로바"
148,カフェ/Cafe,ユガルハウス コンルン,Yugaru House Gongreung,유가루하우스 공릉,スイーツ,Sweets,デザート・フィナンシェ,"Dessert, Financier",店内OK / Indoors OK,なし/No,コンルンドン,Gongreung-dong,蘆原区,Nowon-gu,서울특별시 노원구 동일로190길 53-5 지층,37.6264618,127.0758097,店舗単位,5,1,ベーカリー営業,https://www.google.com/maps/search/?api=1&query=37.6264618%2C127.0758097,https://map.naver.com/p/search/%EC%9C%A0%EA%B0%80%EB%A3%A8%ED%95%98%EC%9A%B0%EC%8A%A4%20%EA%B3%B5%EB%A6%89%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%85%B8%EC%9B%90%EA%B5%AC%20%EB%8F%99%EC%9D%BC%EB%A1%9C190%EA%B8%B8%2053-5%20%EC%A7%80%EC%B8%B5,https://www.diningcode.com/profile.php?rid=WShLQ6kAWGvp,"디저트, 휘낭시에"
149,ごはん/Meal,チョンチュンダクガンジョン コンルン,Cheongchundakgangjeong Gongreung,청춘닭강정 공릉,チキン,Fried Chicken,タッカンジョン・焼き鳥,"Sweet Fried Chicken, Chicken Skewer",店内OK / Indoors OK,なし/No,コンルンドン,Gongreung-dong,蘆原区,Nowon-gu,서울특별시 노원구 공릉로 114 1층,37.6203828,127.0781418,店舗単位,,0,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.6203828%2C127.0781418,https://map.naver.com/p/search/%EC%B2%AD%EC%B6%98%EB%8B%AD%EA%B0%95%EC%A0%95%20%EA%B3%B5%EB%A6%89%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%85%B8%EC%9B%90%EA%B5%AC%20%EA%B3%B5%EB%A6%89%EB%A1%9C%20114%201%EC%B8%B5,https://www.diningcode.com/profile.php?rid=GGxNUyfiqSJF,"닭강정, 닭꼬치"
150,カフェ/Cafe,コーヒースピリッ コンルン,Coffee Seupirit Gongreung,커피스피릿 공릉,スイーツ,Sweets,デザート・マンゴー,"Dessert, Mango",店内OK / Indoors OK,なし/No,コンルンドン,Gongreung-dong,蘆原区,Nowon-gu,서울특별시 노원구 공릉로37길 13 1층 커피스피릿,37.6232666,127.0786027,店舗単位,4.3,4,軽飲食店,https://www.google.com/maps/search/?api=1&query=37.6232666%2C127.0786027,https://map.naver.com/p/search/%EC%BB%A4%ED%94%BC%EC%8A%A4%ED%94%BC%EB%A6%BF%20%EA%B3%B5%EB%A6%89%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%85%B8%EC%9B%90%EA%B5%AC%20%EA%B3%B5%EB%A6%89%EB%A1%9C37%EA%B8%B8%2013%201%EC%B8%B5%20%EC%BB%A4%ED%94%BC%EC%8A%A4%ED%94%BC%EB%A6%BF,https://www.diningcode.com/profile.php?rid=2JvJLIDESAQg,"디저트, 망고"
151,カフェ/Cafe,ホイポルロイコーヒーロースターズ コンルン,HOI POLLOI COFFEE ROASTERS,호이폴로이커피로스터스 공릉,コーヒー専門,Specialty Coffee,コーヒー・カフェ,"Coffee, Cafe",店内OK / Indoors OK,なし/No,コンルンドン,Gongreung-dong,蘆原区,Nowon-gu,서울특별시 노원구 동일로186길 64 상가,37.6252944,127.0765572,店舗単位,4.2,12,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.6252944%2C127.0765572,https://map.naver.com/p/search/%ED%98%B8%EC%9D%B4%ED%8F%B4%EB%A1%9C%EC%9D%B4%EC%BB%A4%ED%94%BC%EB%A1%9C%EC%8A%A4%ED%84%B0%EC%8A%A4%20%EA%B3%B5%EB%A6%89%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%85%B8%EC%9B%90%EA%B5%AC%20%EB%8F%99%EC%9D%BC%EB%A1%9C186%EA%B8%B8%2064%20%EC%83%81%EA%B0%80,https://www.diningcode.com/profile.php?rid=qMym4tKf9j6b,"커피, 카페"
152,ごはん/Meal,パクバ,Bakeuba,바크바,レストラン,Restaurant,,,店内OK / Indoors OK,なし/No,サンギェドン,Sanggye-dong,蘆原区,Nowon-gu,서울특별시 노원구 노원로26길 69,37.6541772,127.0717002,通り単位,,0,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.6541772%2C127.0717002,https://map.naver.com/p/search/%EB%B0%94%ED%81%AC%EB%B0%94%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%85%B8%EC%9B%90%EA%B5%AC%20%EB%85%B8%EC%9B%90%EB%A1%9C26%EA%B8%B8%2069,,
