No,種別/Kind,店名(日本語読み),Name (English),店名(ハングル),ジャンル(日),Cuisine (EN),料理(日),Dishes (EN),犬の同伴,テラス席/Terrace,エリア(日),Area (EN),区(日),District (EN),住所(ハングル),緯度,経度,位置精度,評価,口コミ数,業態,Googleマップ,NAVERマップ,DiningCode,カテゴリ原文(韓)
20,カフェ/Cafe,メスィコーヒー シンサ,Mesh Coffee-24,메쉬커피 신사,コーヒー専門,Specialty Coffee,,,店内OK / Indoors OK,なし/No,シンサドン,Sinsa-dong,江南区,Gangnam-gu,서울특별시 강남구 도산대로17길 8 1층 101호 메쉬커피,37.5192778,127.025035,店舗単位,,0,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5192778%2C127.025035,https://map.naver.com/p/search/%EB%A9%94%EC%89%AC%EC%BB%A4%ED%94%BC%20%EC%8B%A0%EC%82%AC%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%8F%84%EC%82%B0%EB%8C%80%EB%A1%9C17%EA%B8%B8%208%201%EC%B8%B5%20101%ED%98%B8%20%EB%A9%94%EC%89%AC%EC%BB%A4%ED%94%BC,https://www.diningcode.com/profile.php?rid=q8TepJafbQS1,
21,ごはん/Meal,チチグリル アプグジョン,Titigeuril Apgujeong,티티그릴 압구정,タイ料理,Thai,タイ料理,Thai,店内OK / Indoors OK,あり/Yes,シンサドン,Sinsa-dong,江南区,Gangnam-gu,서울특별시 강남구 논현로152길 37 1층,37.5217414,127.0311539,店舗単位,5,1,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5217414%2C127.0311539,https://map.naver.com/p/search/%ED%8B%B0%ED%8B%B0%EA%B7%B8%EB%A6%B4%20%EC%95%95%EA%B5%AC%EC%A0%95%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%85%BC%ED%98%84%EB%A1%9C152%EA%B8%B8%2037%201%EC%B8%B5,https://www.diningcode.com/profile.php?rid=BFNtmhjHH199,태국음식
22,カフェ/Cafe,クレスタウン 狎鴎亭,Keure Star Un Apgujeongjeom,크레스타운 압구정점,カフェ,Cafe,コーヒー・デザート,"Cafe, Coffee",店内OK / Indoors OK,なし/No,狎鴎亭（アプグジョン）,Apgujeong,江南区,Gangnam-gu,"서울특별시 강남구 압구정로46길 5-2 1층 104호, 105호",37.5279654,127.0368352,店舗単位,4.7,2,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5279654%2C127.0368352,https://map.naver.com/p/search/%ED%81%AC%EB%A0%88%EC%8A%A4%ED%83%80%EC%9A%B4%20%EC%95%95%EA%B5%AC%EC%A0%95%EC%A0%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%95%95%EA%B5%AC%EC%A0%95%EB%A1%9C46%EA%B8%B8%205-2%201%EC%B8%B5%20104%ED%98%B8%2C%20105%ED%98%B8,https://www.diningcode.com/profile.php?rid=wqXFVxMbk9iq,"카페, 커피"
23,ごはん/Meal,モモコの台所,Momoko Bueok Yangjaecheon,모모코 부엌 양재천,中央アジア料理,Central Asian,ウイグル料理・クリームマッコリ,"Uyghur, Cream Makgeolli",店内OK / Indoors OK,あり/Yes,良才川（ヤンジェチョン）,Yangjaecheon,江南区,Gangnam-gu,서울특별시 강남구 논현로24길 9 1층,37.4815788,127.0439018,店舗単位,,0,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.4815788%2C127.0439018,https://map.naver.com/p/search/%EB%AA%A8%EB%AA%A8%EC%BD%94%20%EB%B6%80%EC%97%8C%20%EC%96%91%EC%9E%AC%EC%B2%9C%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%85%BC%ED%98%84%EB%A1%9C24%EA%B8%B8%209%201%EC%B8%B5,https://www.diningcode.com/profile.php?rid=2Dpkb2jAorcT,"위구르요리, 크림막걸리"
24,カフェ/Cafe,アロハタートル,Alrohateoteul Yangjaecheon,알로하터틀 양재천,カフェ,Cafe,アサイーボウル・スムージー,"Cafe, Acai Bowl",店内OK / Indoors OK,なし/No,良才川（ヤンジェチョン）,Yangjaecheon,江南区,Gangnam-gu,"서울특별시 강남구 양재천로 169 지하1층, 지상1층 알로하터틀",37.4817033,127.0449277,店舗単位,4,1,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.4817033%2C127.0449277,https://map.naver.com/p/search/%EC%95%8C%EB%A1%9C%ED%95%98%ED%84%B0%ED%8B%80%20%EC%96%91%EC%9E%AC%EC%B2%9C%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%96%91%EC%9E%AC%EC%B2%9C%EB%A1%9C%20169%20%EC%A7%80%ED%95%981%EC%B8%B5%2C%20%EC%A7%80%EC%83%811%EC%B8%B5%20%EC%95%8C%EB%A1%9C%ED%95%98%ED%84%B0%ED%8B%80,https://www.diningcode.com/profile.php?rid=nDw2rdGA5gZk,"카페, 아사이볼"
25,カフェ/Cafe,ペリハウンド ヨクサムドン,BERRY HOUND,베리하운드 역삼동,スイーツ,Sweets,デザート・生いちご,"Dessert, Fresh Strawberry",店内OK / Indoors OK,なし/No,ヨクサムドン,Yeoksam-dong,江南区,Gangnam-gu,서울특별시 강남구 언주로75길 20 1층,37.4985305,127.0426753,店舗単位,,0,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.4985305%2C127.0426753,https://map.naver.com/p/search/%EB%B2%A0%EB%A6%AC%ED%95%98%EC%9A%B4%EB%93%9C%20%EC%97%AD%EC%82%BC%EB%8F%99%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%96%B8%EC%A3%BC%EB%A1%9C75%EA%B8%B8%2020%201%EC%B8%B5,https://www.diningcode.com/profile.php?rid=S4JjhnTnECLw,"디저트, 생딸기"
26,カフェ/Cafe,プロベルコーヒーロースタリー ヨクサミョク,Beurobel Coffee Roastery Yeoksamyeok,브로벨커피로스터리 역삼역,コーヒー専門,Specialty Coffee,カフェ・自家焙煎カフェ,"Cafe, Roastery Cafe",店内OK / Indoors OK,なし/No,ヨクサムドン,Yeoksam-dong,江南区,Gangnam-gu,서울특별시 강남구 테헤란로25길 15-10 1층,37.5017818,127.0345206,店舗単位,,0,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5017818%2C127.0345206,https://map.naver.com/p/search/%EB%B8%8C%EB%A1%9C%EB%B2%A8%EC%BB%A4%ED%94%BC%EB%A1%9C%EC%8A%A4%ED%84%B0%EB%A6%AC%20%EC%97%AD%EC%82%BC%EC%97%AD%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%ED%85%8C%ED%97%A4%EB%9E%80%EB%A1%9C25%EA%B8%B8%2015-10%201%EC%B8%B5,https://www.diningcode.com/profile.php?rid=tHbYlmMVKqNW,"카페, 로스터리카페"
27,カフェ/Cafe,ハイコーヒー,High Coffee,하이커피,コーヒー専門,Specialty Coffee,,,店内OK / Indoors OK,なし/No,ヨクサムドン,Yeoksam-dong,江南区,Gangnam-gu,서울특별시 강남구 도곡로21길 15,37.4927026,127.0387264,建物単位,,0,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.4927026%2C127.0387264,https://map.naver.com/p/search/%ED%95%98%EC%9D%B4%EC%BB%A4%ED%94%BC%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%8F%84%EA%B3%A1%EB%A1%9C21%EA%B8%B8%2015,,
28,カフェ/Cafe,ヘモスミス コーヒー,Hemeoseumiseu Coffee,헤머스미스 커피,コーヒー専門,Specialty Coffee,,,店内OK / Indoors OK,なし/No,ヨクサムドン,Yeoksam-dong,江南区,Gangnam-gu,서울특별시 강남구 봉은사로26길 25,37.5064498,127.0330983,通り単位,,0,軽飲食店,https://www.google.com/maps/search/?api=1&query=37.5064498%2C127.0330983,https://map.naver.com/p/search/%ED%97%A4%EB%A8%B8%EC%8A%A4%EB%AF%B8%EC%8A%A4%20%EC%BB%A4%ED%94%BC%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%B4%89%EC%9D%80%EC%82%AC%EB%A1%9C26%EA%B8%B8%2025,,
29,カフェ/Cafe,コーヒーインリュ ケポジョム,Coffee Inryu Gaepojeom,커피인류 개포점,コーヒー専門,Specialty Coffee,カフェ・コーヒー,"Cafe, Coffee",店内OK / Indoors OK,なし/No,イルォンドン,Irwon-dong,江南区,Gangnam-gu,서울특별시 강남구 영동대로 22,37.4922518,127.0759879,店舗単位,,0,軽飲食店,https://www.google.com/maps/search/?api=1&query=37.4922518%2C127.0759879,https://map.naver.com/p/search/%EC%BB%A4%ED%94%BC%EC%9D%B8%EB%A5%98%20%EA%B0%9C%ED%8F%AC%EC%A0%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%98%81%EB%8F%99%EB%8C%80%EB%A1%9C%2022,https://www.diningcode.com/profile.php?rid=QW5f2J7f4Bph,"카페, 커피"
